"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error","target_date","target_pub_date","surprise_raw","surprise","year_month"
"factor_midas","France","Revenues",2014-08-15,6148.2651641603,2,NA,NA,NA,NA,NA,NA,2014-08-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,3104.64249220365,3104.64249220365,"2014-08"
"factor_midas","France","Revenues",2014-08-27,4387.40406485044,2,NA,NA,NA,NA,NA,NA,2014-08-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-1760.86109930986,-1760.86109930986,"2014-08"
"factor_midas","France","Revenues",2014-08-28,5298.74406483646,2,NA,NA,NA,NA,NA,NA,2014-08-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,911.339999986026,911.339999986026,"2014-08"
"factor_midas","France","Revenues",2014-09-01,6280.87729774203,2,NA,NA,NA,NA,NA,NA,2014-09-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,982.133232905571,982.133232905571,"2014-09"
"factor_midas","France","Revenues",2014-09-05,1269.13829822756,2,NA,NA,NA,NA,NA,NA,2014-09-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-5011.73899951447,-5011.73899951447,"2014-09"
"factor_midas","France","Revenues",2014-09-15,1868.14746313044,2,NA,NA,NA,NA,NA,NA,2014-09-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,NA,0,"2014-09"
"factor_midas","France","Revenues",2014-09-25,1861.87713147732,2,NA,NA,NA,NA,NA,NA,2014-09-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-6.270331653119,-6.270331653119,"2014-09"
"factor_midas","France","Revenues",2014-09-27,2817.21755319519,2,NA,NA,NA,NA,NA,NA,2014-09-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,955.340421717876,955.340421717876,"2014-09"
"factor_midas","France","Revenues",2014-10-01,3642.11470938948,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,824.897156194282,824.897156194282,"2014-10"
"factor_midas","France","Revenues",2014-10-03,3734.89573528211,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,92.7810258926297,92.7810258926297,"2014-10"
"factor_midas","France","Revenues",2014-10-05,3894.50613521666,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,159.610399934559,159.610399934559,"2014-10"
"factor_midas","France","Revenues",2014-10-15,2978.83142032577,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-915.674714890898,-915.674714890898,"2014-10"
"factor_midas","France","Revenues",2014-10-27,2401.89089929775,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-576.940521028021,-576.940521028021,"2014-10"
"factor_midas","France","Revenues",2014-10-30,2386.29597289691,2,NA,NA,NA,NA,NA,NA,2014-10-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-15.5949264008364,-15.5949264008364,"2014-10"
"factor_midas","France","Revenues",2014-11-01,1233.75153698265,2,NA,NA,NA,NA,NA,NA,2014-11-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-1152.54443591426,-1152.54443591426,"2014-11"
"factor_midas","France","Revenues",2014-11-05,668.054704553948,2,NA,NA,NA,NA,NA,NA,2014-11-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-565.696832428697,-565.696832428697,"2014-11"
