"source","fragmentation_index","frag_ea_c","marginal_effect","ci_low","ci_high","ci_low_68","ci_high_68"
"Direct euro area EA-MD factors",97.0713391054985,-2.92866089450154,-0.876856908173775,-1.53402860437416,-0.219685211973391,-1.21214858990867,-0.541565226438885
"Direct euro area EA-MD factors",97.5557172506995,-2.44428274930046,-0.926237990504237,-1.54595791969037,-0.306518061318106,-1.2424216278441,-0.610054353164374
"Direct euro area EA-MD factors",98.0400953959006,-1.95990460409937,-0.975619072834699,-1.57356952773734,-0.377668617932061,-1.28069583554013,-0.670542310129272
"Direct euro area EA-MD factors",98.5244735411017,-1.47552645889829,-1.02500015516516,-1.618591349465,-0.431408960865319,-1.32785280531814,-0.722147505012181
"Direct euro area EA-MD factors",99.0088516863028,-0.991148313697209,-1.07438123749562,-1.68139859221177,-0.467363882779475,-1.38408396949366,-0.764678505497589
"Direct euro area EA-MD factors",99.4932298315039,-0.506770168496129,-1.12376231982609,-1.76086783341634,-0.486656806235832,-1.4488161532905,-0.798708486361671
"Direct euro area EA-MD factors",99.9776079767049,-0.0223920232950476,-1.17314340215655,-1.85479625039518,-0.491490553917911,-1.52092546758442,-0.825361336728672
"Direct euro area EA-MD factors",100.461986121906,0.461986121906033,-1.22252448448701,-1.96057026837906,-0.484478700594964,-1.5990784558605,-0.845970513113517
"Direct euro area EA-MD factors",100.946364267107,0.946364267107114,-1.27190556681747,-2.07570053835812,-0.468110595276819,-1.68200504209332,-0.861806091541629
"Direct euro area EA-MD factors",101.430742412308,1.4307424123082,-1.32128664914793,-2.19808476557582,-0.444488532720049,-1.76863262691726,-0.873940671378605
"Direct euro area EA-MD factors",101.915120557509,1.91512055750928,-1.3706677314784,-2.32606153573566,-0.415273927221131,-1.858113549977,-0.883221912979792
"Direct euro area EA-MD factors",102.39949870271,2.39949870271036,-1.42004881380886,-2.45836163227884,-0.381735995338873,-1.94980025180375,-0.890297375813968
"Direct euro area EA-MD factors",102.883876847911,2.88387684791144,-1.46942989613932,-2.59402915824527,-0.344830634033375,-2.04320502986684,-0.895654762411797
"Direct euro area EA-MD factors",103.368254993113,3.36825499311252,-1.51881097846978,-2.7323460192509,-0.305275937688668,-2.13796150948056,-0.89966044745901
"Direct euro area EA-MD factors",103.852633138314,3.85263313831361,-1.56819206080024,-2.87277049601303,-0.263613625587459,-2.23379330325575,-0.902590818344742
"Direct euro area EA-MD factors",104.337011283515,4.33701128351469,-1.61757314313071,-3.01489067883442,-0.220255607426995,-2.33049025318362,-0.904656033077793
"Direct euro area EA-MD factors",104.821389428716,4.82138942871577,-1.66695422546117,-3.15839027876422,-0.175518172158117,-2.42789098735048,-0.906017463571857
"Direct euro area EA-MD factors",105.305767573917,5.30576757391685,-1.71633530779163,-3.30302384375057,-0.129646771832697,-2.52587027511762,-0.906800340465644
"Direct euro area EA-MD factors",105.790145719118,5.79014571911793,-1.76571639012209,-3.44859883483981,-0.0828339454043809,-2.62432988232501,-0.907102897919179
"Direct euro area EA-MD factors",106.274523864319,6.27452386431901,-1.81509747245256,-3.59496261871473,-0.0352323261903857,-2.72319193483121,-0.907003010073897
"Direct euro area EA-MD factors",106.75890200952,6.7589020095201,-1.86447855478302,-3.74199296446484,0.0130358548988048,-2.8223940699268,-0.906563039639231
"Direct euro area EA-MD factors",107.243280154721,7.24328015472118,-1.91385963711348,-3.8895910413765,0.0618717671495439,-2.92188586377829,-0.905833410448672
"Direct euro area EA-MD factors",107.727658299922,7.72765829992226,-1.96324071944394,-4.03767621098462,0.111194772096741,-3.02162617431164,-0.904855264576246
"Direct euro area EA-MD factors",108.212036445123,8.21203644512334,-2.0126218017744,-4.18618211583987,0.160938512291061,-3.12158114568536,-0.903662457863452
"Direct euro area EA-MD factors",108.696414590324,8.69641459032442,-2.06200288410487,-4.33505371344004,0.211047945230309,-3.22172269499016,-0.902283073219573
"Direct euro area EA-MD factors",109.180792735526,9.1807927355255,-2.11138396643533,-4.48424500538104,0.261477072510384,-3.32202735365253,-0.900740579218128
"Direct euro area EA-MD factors",109.665170880727,9.66517088072658,-2.16076504876579,-4.63371728265466,0.31218718512308,-3.42247537217848,-0.899054725353101
"Direct euro area EA-MD factors",110.149549025928,10.1495490259277,-2.21014613109625,-4.7834377577079,0.363145495515396,-3.52305002222464,-0.89724223996786
"Direct euro area EA-MD factors",110.633927171129,10.6339271711288,-2.25952721342671,-4.93337848895187,0.414324062098445,-3.62373704787833,-0.895317378975102
"Direct euro area EA-MD factors",111.11830531633,11.1183053163298,-2.30890829575718,-5.0835155283596,0.465698936845243,-3.72452423075841,-0.893292360755942
"Direct euro area EA-MD factors",111.602683461531,11.6026834615309,-2.35828937808764,-5.23382824068992,0.517249484514643,-3.82540104268064,-0.891177713494638
"Direct euro area EA-MD factors",112.087061606732,12.087061606732,-2.4076704604181,-5.38429875582326,0.568957834987059,-3.92635836623706,-0.888982554599141
