"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"Direct euro area EA-MD factors",11,"Low fragmentation (-1 sd)",0.0670786362043292,1.23862564534732,-2.36062762867642,2.49478490108508,-1.17154700914299,1.30570428155165
"Direct euro area EA-MD factors",12,"Low fragmentation (-1 sd)",-0.118538744841361,0.80701545140437,-1.70028902959393,1.4632115399112,-0.925554196245732,0.688476706563009
"Direct euro area EA-MD factors",13,"Low fragmentation (-1 sd)",0.380503773590005,0.699276887231589,-0.990078925383911,1.75108647256392,-0.318773113641585,1.07978066082159
"Direct euro area EA-MD factors",14,"Low fragmentation (-1 sd)",0.744210246378629,0.792440294892374,-0.808972731610423,2.29739322436768,-0.0482300485137444,1.536650541271
"Direct euro area EA-MD factors",15,"Low fragmentation (-1 sd)",0.971978653877843,0.772571788897854,-0.54226205236195,2.48621936011764,0.199406864979989,1.7445504427757
"Direct euro area EA-MD factors",16,"Low fragmentation (-1 sd)",0.375525561050112,0.841131779058392,-1.27309272590434,2.02414384800456,-0.46560621800828,1.2166573401085
"Direct euro area EA-MD factors",17,"Low fragmentation (-1 sd)",0.37220780226782,0.927467053370127,-1.44562762233763,2.19004322687327,-0.555259251102307,1.29967485563795
"Direct euro area EA-MD factors",18,"Low fragmentation (-1 sd)",1.31215862111221,0.910919429371455,-0.473243460455844,3.09756070268026,0.401239191740753,2.22307805048366
"Direct euro area EA-MD factors",19,"Low fragmentation (-1 sd)",0.671871362119904,1.06315552641576,-1.41191346965498,2.75565619389479,-0.391284164295853,1.73502688853566
"Direct euro area EA-MD factors",20,"Low fragmentation (-1 sd)",-0.343778450629329,0.804028782961227,-1.91967486523333,1.23211796397468,-1.14780723359056,0.460250332331898
"Direct euro area EA-MD factors",21,"Low fragmentation (-1 sd)",0.559623753408607,0.797641241733067,-1.0037530803882,2.12300058720542,-0.23801748832446,1.35726499514167
"Direct euro area EA-MD factors",22,"Low fragmentation (-1 sd)",0.135488147083389,0.69864482889327,-1.23385571754742,1.5048320117142,-0.563156681809881,0.834132975976659
"Direct euro area EA-MD factors",23,"Low fragmentation (-1 sd)",0.886340321148939,0.822934812886125,-0.726611912107867,2.49929255440574,0.0634055082628134,1.70927513403506
"Direct euro area EA-MD factors",24,"Low fragmentation (-1 sd)",1.37872415034435,0.991220247260769,-0.564067534286757,3.32151583497546,0.387503903083581,2.36994439760512
"Direct euro area EA-MD factors",0,"Average fragmentation",-0.720306747461104,0.302352037348275,-1.31291674066372,-0.127696754258485,-1.02265878480938,-0.417954710112829
"Direct euro area EA-MD factors",1,"Average fragmentation",-1.53825806651872,0.874364637598959,-3.25201275621268,0.175496623175245,-2.41262270411768,-0.663893428919756
